,Country,Description,Name,Points,Price,Province,Variety,Winery,Region,PersonalRating,Comment,Favorite
0,Us,"This Tremendous 100% Varietal Wine Hails From Oakville And Was Aged Over Three Years In Oak. Juicy Red-cherry Fruit And A Compelling Hint Of Caramel Greet The Palate, Framed By Elegant, Fine Tannins And A Subtle Minty Tone In The Background. Balanced And Rewarding From Start To Finish, It Has Years Ahead Of It To Develop Further Nuance. Enjoy 2022–2030.",Martha's Vineyard,96,235.0,California,Cabernet Sauvignon,Heitz,"['Napa Valley', 'Napa']",-1,Unfilled,False
1,Spain,"Ripe Aromas Of Fig, Blackberry And Cassis Are Softened And Sweetened By A Slathering Of Oaky Chocolate And Vanilla. This Is Full, Layered, Intense And Cushioned On The Palate, With Rich Flavors Of Chocolaty Black Fruits And Baking Spices. A Toasty, Everlasting Finish Is Heady But Ideally Balanced. Drink Through 2023.",Carodorum Selección Especial Reserva,96,110.0,Northern Spain,Tinta De Toro,Bodega Carmen Rodríguez,"['Toro', 'Unfilled']",-1,Unfilled,False
2,Us,"Mac Watson Honors The Memory Of A Wine Once Made By His Mother In This Tremendously Delicious, Balanced And Complex Botrytised White. Dark Gold In Color, It Layers Toasted Hazelnut, Pear Compote And Orange Peel Flavors, Reveling In The Succulence Of Its 122 G/l Of Residual Sugar.",Special Selected Late Harvest,96,90.0,California,Sauvignon Blanc,Macauley,"['Knights Valley', 'Sonoma']",-1,Unfilled,False
3,Us,"This Spent 20 Months In 30% New French Oak, And Incorporates Fruit From Ponzi's Aurora, Abetina And Madrona Vineyards, Among Others. Aromatic, Dense And Toasty, It Deftly Blends Aromas And Flavors Of Toast, Cigar Box, Blackberry, Black Cherry, Coffee And Graphite. Tannins Are Polished To A Fine Sheen, And Frame A Finish Loaded With Dark Chocolate And Espresso. Drink Now Through 2032.",Reserve,96,65.0,Oregon,Pinot Noir,Ponzi,"['Willamette Valley', 'Willamette Valley']",-1,Unfilled,False
4,France,"This Is The Top Wine From La Bégude, Named After The Highest Point In The Vineyard At 1200 Feet. It Has Structure, Density And Considerable Acidity That Is Still Calming Down. With 18 Months In Wood, The Wine Has Developing An Extra Richness And Concentration. Produced By The Tari Family, Formerly Of Château Giscours In Margaux, It Is A Wine Made For Aging. Drink From 2020.",La Brûlade,95,66.0,Provence,Provence Red Blend,Domaine De La Bégude,"['Bandol', 'Unfilled']",-1,Unfilled,False
5,Spain,"Deep, Dense And Pure From The Opening Bell, This Toro Is A Winner. Aromas Of Dark Ripe Black Fruits Are Cool And Moderately Oaked. This Feels Massive On The Palate But Sensationally Balanced. Flavors Of Blackberry, Coffee, Mocha And Toasty Oak Finish Spicy, Smooth And Heady. Drink This Exemplary Toro Through 2023.",Numanthia,95,73.0,Northern Spain,Tinta De Toro,Numanthia,"['Toro', 'Unfilled']",-1,Unfilled,False
6,Spain,"Slightly Gritty Black-fruit Aromas Include A Sweet Note Of Pastry Along With A Hint Of Prune. Wall-to-wall Saturation Ensures That All Corners Of One's Mouth Are Covered. Flavors Of Blackberry, Mocha And Chocolate Are Highly Impressive And Expressive, While This Settles Nicely On A Long Finish. Drink Now Through 2024.",San Román,95,65.0,Northern Spain,Tinta De Toro,Maurodos,"['Toro', 'Unfilled']",-1,Unfilled,False
7,Spain,"Lush Cedary Black-fruit Aromas Are Luxe And Offer Notes Of Marzipan And Vanilla. This Bruiser Is Massive And Tannic On The Palate, But Still Lush And Friendly. Chocolate Is A Key Flavor, While Baked Berry And Cassis Flavors Are Hardly Wallflowers. On The Finish, This Is Tannic And Deep As A Sea Trench. Drink This Saturated Black-colored Toro Through 2023.",Carodorum Único Crianza,95,110.0,Northern Spain,Tinta De Toro,Bodega Carmen Rodríguez,"['Toro', 'Unfilled']",-1,Unfilled,False
8,Us,"This Re-named Vineyard Was Formerly Bottled As Delancellotti. You'll Find Striking Minerality Underscoring Chunky Black Fruits. Accents Of Citrus And Graphite Comingle, With Exceptional Midpalate Concentration. This Is A Wine To Cellar, Though It Is Already Quite Enjoyable. Drink Now Through 2030.",Silice,95,65.0,Oregon,Pinot Noir,Bergström,"['Chehalem Mountains', 'Willamette Valley']",-1,Unfilled,False
9,Us,"The Producer Sources From Two Blocks Of The Vineyard For This Wine—one At A High Elevation, Which Contributes Bright Acidity. Crunchy Cranberry, Pomegranate And Orange Peel Flavors Surround Silky, Succulent Layers Of Texture That Present As Fleshy Fruit. That Delicately Lush Flavor Has Considerable Length.",Gap's Crown Vineyard,95,60.0,California,Pinot Noir,Blue Farm,"['Sonoma Coast', 'Sonoma']",-1,Unfilled,False
10,Italy,"Elegance, Complexity And Structure Come Together In This Drop-dead Gorgeous Winethat Ranks Among Italy's Greatest Whites. It Opens With Sublime Yellow Spring Flower, Aromatic Herb And Orchard Fruit Scents. The Creamy, Delicious Palate Seamlessly Combines Juicy White Peach, Ripe Pear And Citrus Flavors While White Almond And Savory Mineral Notes Grace The Lingering Finish.",Ronco Della Chiesa,95,80.0,Northeastern Italy,Friulano,Borgo Del Tiglio,"['Collio', 'Unfilled']",-1,Unfilled,False
11,Us,"From 18-year-old Vines, This Supple Well-balanced Effort Blends Flavors Of Mocha, Cherry, Vanilla And Breakfast Tea. Superbly Integrated And Delicious Even At This Early Stage, This Wine Seems Destined For A Long And Savory Cellar Life. Drink Now Through 2028.",Estate Vineyard Wadensvil Block,95,48.0,Oregon,Pinot Noir,Patricia Green Cellars,"['Ribbon Ridge', 'Willamette Valley']",-1,Unfilled,False
12,Us,"A Standout Even In This Terrific Lineup Of 2015 Releases From Patricia Green, The Weber Opens With A Burst Of Cola And Tobacco Scents And Accents. It Continues, Subtle And Detailed, With Flavors Of Oranges, Vanilla, Tea And Milk Chocolate Discreetly Threaded Through Ripe Blackberry Fruit.",Weber Vineyard,95,48.0,Oregon,Pinot Noir,Patricia Green Cellars,"['Dundee Hills', 'Willamette Valley']",-1,Unfilled,False
13,France,This Wine Is In Peak Condition. The Tannins And The Secondary Flavors Dominate This Ripe Leather-textured Wine. The Fruit Is All There As Well: Dried Berries And Hints Of Black-plum Skins. It Is A Major Wine Right At The Point Of Drinking With Both The Mature Flavors And The Fruit In The Right Balance.,Château Montus Prestige,95,90.0,Southwest France,Tannat,Vignobles Brumont,"['Madiran', 'Unfilled']",-1,Unfilled,False
14,Us,"With Its Sophisticated Mix Of Mineral, Acid And Tart Fruits, This Seductive Effort Pleases From Start To Finish. Supple And Dense, It's Got Strawberry, Blueberry, Plum And Black Cherry, A Touch Of Chocolate, And That Underlying Streak Of Mineral. All These Elements Are In Good Proportion And Finish With An Appealing Silky Texture. It's Delicious Already, But Give It Another Decade For Full Enjoyment. Drink Now Through 2028.",Grace Vineyard,95,185.0,Oregon,Pinot Noir,Domaine Serene,"['Dundee Hills', 'Willamette Valley']",-1,Unfilled,False
15,Us,"First Made In 2006, This Succulent Luscious Chardonnay Is All About Minerality. It's Got A Rich Core Of Butterscotch And The Seemingly Endless Layers Of Subtle Flavors That Biodynamic Farming Can Bring. It Spends 18 Months On The Lees Prior To Bottling. Drink Now Through 2028.",Sigrid,95,90.0,Oregon,Chardonnay,Bergström,"['Willamette Valley', 'Willamette Valley']",-1,Unfilled,False
