,Name,Country,Roaster,Roast,Origin,Price,UserRating
0,“sweety” Espresso Blend,Hong Kong,A.r.c.,Medium-light,Panama,14.32,95.0
1,Flora Blend Espresso,,,,Africa,9.05,94.0
2,Ethiopia Shakiso Mormora,United States,Revel Coffee,,Guji Zone,4.7,92.0
3,Ethiopia Suke Quto,,Roast House,,,4.19,
4,Ethiopia Gedeb Halo Beriti,,Big Creek Coffee Roasters,Medium,Gedeb District,4.85,
5,Ethiopia Kayon Mountain,,Red Rooster Coffee Roaster,Light,Odo Shakiso District,5.14,93.0
6,Ethiopia Gelgelu Natural Organic,,Willoughby's Coffee & Tea,,Yirgacheffe Growing Region,3.97,
7,Ethiopia Hambela Alaka,,Black Oak Coffee Roasters,,Hambela Wamena District,,
8,Organic Ethiopia Kirite,,Wonderstate Coffee,,Hambela District,5.29,
9,Ethiopia Sidama,Canada,Reunion Island Coffee,,Sidama (also Sidamo) Growing Region,3.76,
10,Thiriku Aa Kenya,,Pt's Coffee Roasting,,Central Kenya,7.2,
11,Ethiopia Natural Yirgacheffe Tore,Taiwan,Kakalove Cafe,,Tore Village,3.89,
12,Direct Fair Trade Espresso,,Level Ground Trading,,,2.82,
13,Decaf Ethiopia Sidamo,,Old Soul Co.,,,5.73,90.0
14,Ethiopia Yirgacheffe Washed G1,,,,,6.87,
15,Ethiopia Yirgacheffe Natural G1,,,,,,91.0
16,“fruity” Espresso Blend,,,,Ethiopia,11.45,
17,Decaf Colombia Select,,Bootstrap Coffee Roasters,,Colombia,4.41,87.0
18,Ethiopia Awassa,,Paradise Roasters,,Yirgacheffe,5.28,
19,100% Kona Sl-28,Hawai'i,Hula Daddy Kona Coffee,,Holualoa,33.05,97.0
20,Kenya Kirinyaga Mukangu Ab,,,,Kirinyaga District,4.6,
21,Kenya Nyeri Othaya Gatugi Red Cherry Project Aa,,Jackrabbit Java,Medium-dark,Nyeri Growing Region,,
22,Ethiopia Washed Yirgacheffe Adado,,,,,,
23,Outbound Espresso,,Propeller Coffee,,Mexico,3.98,
24,Ace Espresso,,,,,,
25,Kenya Mutungati,,,,Nakuru Province,4.65,
26,Guatemala El Retiro Del Quisaya,,Chocolate Fish Coffee Roasters,,San Martin Jilotepeque,5.58,
27,Kenya Peaberry Kericho County,,Caffe Luxxe,,Kericho County,5.88,
28,Static El Salvador Finca Maria Luisa,,Espresso Republic,,Santa Rosa,3.5,89.0
29,Kamwangi Kenya,,Lexington Coffee Roasters,,Gichugu Division,5.86,
30,Ethiopia Gelana Abaya,,,,,,
31,Ethiopia Bishan Fugu,,Noble Coffee Roasting,,,,
32,Sustainable Harvest Homacho Waeno Natural,,Red E Café,,Aleta Wondo,,
33,Ethiopia Amaro Gayo Natural,,Ben's Beans,,,4.98,
34,Static Colombia Decaf Midnight,,,,Huila,,
35,Diima #9 Ethiopia Natural,,,,,7.35,
36,Sweet Holiday Blend,,,,,,
37,Dr Congo Virunga Organic,,Speckled Ax,,Kirumba,5.0,
38,Holiday Blend,,Fumi Coffee,,,9.7,
39,Kenya Thaitu,,Good Folks Coffee,,Nakuru County,6.47,
40,Yule Blend 2018,,Flight Coffee Co.,,,,
41,Los Congos Pacamara Honey,,Dragonfly Coffee Roasters,,Nueva Segovia Growing Region,,
42,Coffea Diversa Costa Rica Sudan Rume,,Oq Coffee Co.,,Biolley,12.35,
43,Ethiopia Banko Gotiti Natural G1,,Green Stone Coffee,,Kochere,8.44,
44,Panama Auromar Geisha Natural,,,,Piedra Candela,16.17,96.0
45,El Salvador Finca Kilimanjaro,,Bird Rock Coffee Roasters,,Santa Ana Department,,
46,Panama Elida Green Tip Gesha Natural,,Equator Coffees & Teas,,Boquete Growing Region,32.63,
47,Gikanda Kenya,,Jbc Coffee Roasters,,South-central Kenya,5.66,
48,Panama Don Julian Pacamara,,,,Horcheta,11.02,
49,100% Kona Bourbon Pointu Laurina,,,,,19.82,
50,Kenya Ab Muchoki,,Klatch Coffee,,,,
51,Colombia Nariño Duende,,,,Narino Department,,
52,Geisha Panama Santamaria Natural,Australia,Campos Coffee,,Paso Ancho,16.56,
53,Estate Medium Roast,,Ka'u Specialty Coffee,,Ka'u Growing Region,13.0,
54,Ethiopia Holy Grail Natural Yirgacheffe,,Simon Hsieh’s Aroma Roast Coffees,,,17.7,
55,Kenya Karinga,,Amavida Coffee Roasters,,Gatundu,8.8,
56,Thailand Doi Pangkhon Espresso,,,,Doi Pangkhon Growing Region,,
57,Ulos Batak Sumatra,,,,Northern Sumatra,5.57,
58,Gaitania Colombia,,,,Southern Tolima Department,4.63,
59,Blue Label La Esmeralda Porton Pascua Gesha,,,,,26.46,
