,Brewery,Style,Name,ReviewsNumber,OverallReview,Aroma,Appearance,Palate,Taste,BeerABV
0,Yellow Rose Brewing Company,American Ipa,Cactus Queen Ipa,1019075828.0,4.0,4.0,3.5,4.5,4.0,-1.0
1,,American Stout,Wildcatter's Crude Stout,1066876922.0,4.5,,4.0,4.0,,
2,Abita Brewing Co.,Vienna Lager,Amber,1270055168.0,3.0,3.0,3.0,,3.0,4.5
3,,English Brown Ale,Turbodog,1234038897.0,,3.5,,3.5,,5.6
4,,Fruit / Vegetable Beer,Purple Haze,1120192454.0,,,,3.0,2.5,4.2
5,,American Adjunct Lager,Wheat,1307298369.0,3.5,2.5,,,,
6,,American Pale Lager,Golden,1199082154.0,,,,,3.5,
7,Allagash Brewing Company,Dubbel,Allagash Dubbel Ale,1225585975.0,,,4.5,,,7.0
8,Yakima Brewing Co. / Bert Grant's Ales,Scottish Ale,Bert Grant's Scottish Ale,1052583122.0,,,,,,4.7
9,,Russian Imperial Stout,Bert Grant's Imperial Stout,907200001.0,,,,,4.5,6.0
10,,English India Pale Ale (ipa),Bert Grant's Ipa,1088950870.0,,,,,,
11,Brouwerij Slaghmuylder,Belgian Pale Ale,Witkap Pater Singel / Stimulo,1285934527.0,,4.5,,,,
12,"Wild Goose Brewery, Llc",Winter Warmer,Wild Goose Snow Goose Winter Ale,1261381348.0,,,,,,6.3
13,Widmer Brothers Brewing Company,American Pale Ale (apa),Hop Jack Pale Ale,1046373493.0,,,,,,
14,,American Pale Wheat Ale,Widmer Hefeweizen,1232675975.0,,,,,,4.9
15,,Kölsch,Sommerbräu,1026102376.0,,,,,,4.8
16,Whitbread Plc,Milk / Sweet Stout,Mackeson Triple Xxx Stout,1090789876.0,,,,,,
17,Whim Ales,Extra Special / Strong Bitter (esb),Old Izaak,1076740325.0,,,5.0,,,5.0
18,Freeminer Brewery Ltd.,Foreign / Export Stout,Deep Shaft Stout,1097629240.0,,,,,,6.2
19,Wachusett Brewing Company,,Wachusett Ipa (india Pale Ale),1118629445.0,,,,,,
20,,American Porter,Wachusett Black Shack Porter,1237265556.0,,,,,,
21,,American Amber / Red Ale,Wachusett Octoberfest Ale,1160087030.0,,,,,,5.2
22,,Irish Red Ale,Quinn's Amber Ale,1212254057.0,2.5,2.0,,,,
23,,,Wachusett Winter Fest Ale,888019201.0,,,,,,
24,Union Export Brewery,German Pilsener,Peter's Brand Pilsner Beer,1231285902.0,,,2.5,,,
25,Unibroue,Belgian Strong Dark Ale,Trois Pistoles,1037344878.0,,,,5.0,,9.0
26,,Witbier,Blanche De Chambly,1144282460.0,,,,,,
27,,Tripel,Eau Benite,1121649088.0,,,,,,7.7
28,,,Maudite,1083636151.0,5.0,5.0,,,5.0,8.0
29,,,La Fin Du Monde,1300241493.0,,,,2.5,,
30,Twisted Pine Brewing Company,,Twisted Pine Amber Ale,1172369764.0,,,,,,5.3
31,Traquair House Brewery Lld,Scotch Ale / Wee Heavy,Traquair House Ale,1168883170.0,,,,,,7.2
32,Tollemache & Cobbold Brewery Ltd,,Cobnut Nut Brown Ale,893289601.0,,,,,,
33,Three Floyds Brewing Co. & Brewpub,,Burnham Pilsner,1064851925.0,,,,,,
34,,,Alpha King Pale Ale,1239601632.0,,,,,,
35,,,Three Floyds Extra Pale Ale,1058627347.0,,,,,,5.25
36,Upper Canada Brewing Company,Light Lager,Light Lager,889401601.0,,,,,,4.0
37,,,Dark Ale,1057129443.0,,,,,,
38,,,Rebellion Lager,1219600691.0,,,,,,
